Query id	Subject id
NC_018612.1	NC_029018.2
NZ_CP011491.1	KT591490.1
NZ_CP011491.1	NC_028759.1
NZ_CP015495.1	KR080194.1
NZ_CP015495.1	NC_028934.1
NZ_CP020809.1	NC_021308.1
NZ_CP020809.1	NC_026597.1
mycobacterium_avium_k10_Contig_null.1	NC_026588.1
mycobacterium_avium_k10_Contig_null.1	NC_026588.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	NC_008204.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	NC_008204.1
mycobacterium_ulcerans_agy99_Contig_1.1	NC_021334.1
mycobacterium_ulcerans_agy99_Contig_1.1	NC_021334.1
NC_009338.1	KM652553.1
NC_009338.1	KR824843.1
NC_009338.1	NC_013936.1
NC_009338.1	NC_023699.1
NC_009338.1	NC_028842.1
NC_009338.1	NC_028842.1
NC_009338.1	NC_028937.1
NZ_BCTB01000003.1	KF024730.1
NZ_BCTB01000003.1	KT281796.1
NZ_BCTB01000003.1	NC_022057.1
NZ_BCTB01000003.1	NC_022325.1
NZ_BCTB01000003.1	NC_023712.1
NZ_CP011491.1	KM652553.1
NZ_CP011491.1	KR824843.1
NZ_CP011491.1	KT281789.1
NZ_CP011491.1	NC_013936.1
NZ_CP011491.1	NC_023699.1
NZ_CP011491.1	NC_028842.1
NZ_CP011491.1	NC_028842.1
NZ_CP011491.1	NC_028936.1
NZ_CP011491.1	NC_028937.1
NZ_CP015495.1	NC_026588.1
NZ_CP020809.1	KT281795.1
NZ_CP020809.1	NC_028910.1
CP001664.1	NC_026588.1
CP010333.1	NC_026588.1
CP015773.2	NC_026588.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_026588.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_026588.1
mycobacterium_bovis_bcg_Contig_1.1	NC_026588.1
mycobacterium_bovis_bcg_Contig_1.1	NC_026588.1
mycobacterium_leprae_tn_Contig_1.1	NC_026588.1
mycobacterium_leprae_tn_Contig_1.1	NC_026588.1
mycobacterium_tuberculosis_cdc1551_null	NC_026588.1
mycobacterium_tuberculosis_cdc1551_null	NC_026588.1
mycobacterium_tuberculosis_f11_AAIX02000001	NC_026588.1
mycobacterium_tuberculosis_f11_AAIX02000001	NC_026588.1
mycobacterium_tuberculosis_h37ra_Contig_1.1	NC_026588.1
mycobacterium_tuberculosis_h37ra_Contig_1.1	NC_026588.1
NC_000962.3	NC_026588.1
NC_010397.1	NC_022979.1
NC_010397.1	NC_023710.1
NZ_AP018165.1	NC_023709.1
NZ_CP011491.1	NC_023709.1
NZ_CP011491.1	NC_026588.1
CP001664.1	NC_008206.2
CP010333.1	NC_008206.2
CP015773.2	NC_008206.2
CP021238.1	NC_008206.2
mycobacterium_africanum_gm041182_Contig_1.1	NC_008206.2
mycobacterium_africanum_gm041182_Contig_1.1	NC_008206.2
mycobacterium_avium_104_Contig_1.1	NC_008206.2
mycobacterium_avium_104_Contig_1.1	NC_008206.2
mycobacterium_avium_k10_Contig_null.1	NC_008206.2
mycobacterium_avium_k10_Contig_null.1	NC_008206.2
mycobacterium_bovis_bcg_Contig_1.1	NC_008206.2
mycobacterium_bovis_bcg_Contig_1.1	NC_008206.2
mycobacterium_leprae_tn_Contig_1.1	NC_008206.2
mycobacterium_leprae_tn_Contig_1.1	NC_008206.2
mycobacterium_smegmatis_mc2_155_Contig_1.1	GQ303263.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	GQ303263.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	KC661271.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	KC661271.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	KF841475.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	KF841475.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	KF841476.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	KF841476.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	NC_013694.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	NC_013694.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	NC_023562.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	NC_023562.1
mycobacterium_sp._jls_Contig_1.null	NC_008206.2
mycobacterium_sp._jls_Contig_1.null	NC_008206.2
mycobacterium_sp._kms_Contig_1.0	NC_008206.2
mycobacterium_sp._kms_Contig_1.0	NC_008206.2
mycobacterium_sp._mcs_Contig_1.1	NC_008206.2
mycobacterium_sp._mcs_Contig_1.1	NC_008206.2
mycobacterium_tuberculosis_cdc1551_null	NC_008206.2
mycobacterium_tuberculosis_cdc1551_null	NC_008206.2
mycobacterium_tuberculosis_f11_AAIX02000001	NC_008206.2
mycobacterium_tuberculosis_f11_AAIX02000001	NC_008206.2
mycobacterium_tuberculosis_h37ra_Contig_1.1	NC_008206.2
mycobacterium_tuberculosis_h37ra_Contig_1.1	NC_008206.2
mycobacterium_vanbaalenii_pyr-1_Contig_1.1	KM652553.1
mycobacterium_vanbaalenii_pyr-1_Contig_1.1	KM652553.1
mycobacterium_vanbaalenii_pyr-1_Contig_1.1	KR824843.1
mycobacterium_vanbaalenii_pyr-1_Contig_1.1	KR824843.1
mycobacterium_vanbaalenii_pyr-1_Contig_1.1	NC_013936.1
mycobacterium_vanbaalenii_pyr-1_Contig_1.1	NC_013936.1
mycobacterium_vanbaalenii_pyr-1_Contig_1.1	NC_023699.1
mycobacterium_vanbaalenii_pyr-1_Contig_1.1	NC_023699.1
mycobacterium_vanbaalenii_pyr-1_Contig_1.1	NC_028842.1
mycobacterium_vanbaalenii_pyr-1_Contig_1.1	NC_028842.1
mycobacterium_vanbaalenii_pyr-1_Contig_1.1	NC_028842.1
mycobacterium_vanbaalenii_pyr-1_Contig_1.1	NC_028842.1
mycobacterium_vanbaalenii_pyr-1_Contig_1.1	NC_028937.1
mycobacterium_vanbaalenii_pyr-1_Contig_1.1	NC_028937.1
NC_000962.3	NC_008206.2
NC_010397.1	KT281789.1
NC_010397.1	NC_003387.1
NC_010397.1	NC_028936.1
NZ_CP011491.1	NC_008206.2
NZ_CP011491.1	NC_026597.1
NZ_CP015495.1	NC_008206.2
NZ_CP020809.1	GQ303263.1
NZ_CP020809.1	KC661271.1
NZ_CP020809.1	KF841475.1
NZ_CP020809.1	KF841476.1
NZ_CP020809.1	NC_013694.1
NZ_CP020809.1	NC_023562.1
mycobacterium_marinum_Contig_1.1	NC_008206.2
mycobacterium_marinum_Contig_1.1	NC_008206.2
mycobacterium_smegmatis_mc2_155_Contig_1.1	JN699015.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	JN699015.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	KF959563.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	KF959563.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	NC_023577.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	NC_023577.1
mycobacterium_sp._kms_Contig_1.0	NC_026597.1
mycobacterium_sp._kms_Contig_1.0	NC_026597.1
mycobacterium_sp._mcs_Contig_1.1	NC_026597.1
mycobacterium_sp._mcs_Contig_1.1	NC_026597.1
mycobacterium_ulcerans_agy99_Contig_1.1	NC_008206.2
mycobacterium_ulcerans_agy99_Contig_1.1	NC_008206.2
NC_020133.1	NC_008206.2
NZ_AP018164.1	NC_008206.2
NZ_AP018165.1	NC_021307.1
NZ_AP018165.1	NC_023609.1
NZ_AP018165.1	NC_026591.1
NZ_CP011269.1	NC_011288.1
NZ_CP011269.1	NC_011288.1
NZ_CP020809.1	KM597530.1
NZ_CP020809.1	KM597530.1
NZ_CP020809.1	KM652553.1
NZ_CP020809.1	KR824843.1
NZ_CP020809.1	KT281792.1
NZ_CP020809.1	KT281793.1
NZ_CP020809.1	KT281795.1
NZ_CP020809.1	KT895280.1
NZ_CP020809.1	KT895281.1
NZ_CP020809.1	KU865302.1
NZ_CP020809.1	NC_008196.1
NZ_CP020809.1	NC_008205.1
NZ_CP020809.1	NC_011044.1
NZ_CP020809.1	NC_011054.1
NZ_CP020809.1	NC_011288.1
NZ_CP020809.1	NC_013936.1
NZ_CP020809.1	NC_014901.1
NZ_CP020809.1	NC_021538.1
NZ_CP020809.1	NC_022055.1
NZ_CP020809.1	NC_022056.1
NZ_CP020809.1	NC_023699.1
NZ_CP020809.1	NC_023728.1
NZ_CP020809.1	NC_025433.1
NZ_CP020809.1	NC_026593.1
NZ_CP020809.1	NC_026595.1
NZ_CP020809.1	NC_026604.1
NZ_CP020809.1	NC_026604.1
NZ_CP020809.1	NC_028654.1
NZ_CP020809.1	NC_028678.1
NZ_CP020809.1	NC_028813.1
NZ_CP020809.1	NC_028823.1
NZ_CP020809.1	NC_028823.1
NZ_CP020809.1	NC_028842.1
NZ_CP020809.1	NC_028842.1
NZ_CP020809.1	NC_028910.1
NZ_CP020809.1	NC_028937.1
NZ_CP020809.1	NC_028961.1
NZ_CP020809.1	NC_031262.1
CP021238.1	NC_031253.1
mycobacterium_avium_104_Contig_1.1	KJ194581.1
mycobacterium_avium_104_Contig_1.1	KJ194581.1
mycobacterium_avium_104_Contig_1.1	NC_008199.1
mycobacterium_avium_104_Contig_1.1	NC_008199.1
mycobacterium_avium_104_Contig_1.1	NC_022983.1
mycobacterium_avium_104_Contig_1.1	NC_022983.1
mycobacterium_avium_104_Contig_1.1	NC_031253.1
mycobacterium_avium_104_Contig_1.1	NC_031253.1
mycobacterium_avium_k10_Contig_null.1	NC_031253.1
mycobacterium_avium_k10_Contig_null.1	NC_031253.1
mycobacterium_leprae_tn_Contig_1.1	NC_031253.1
mycobacterium_leprae_tn_Contig_1.1	NC_031253.1
mycobacterium_marinum_Contig_1.1	NC_031253.1
mycobacterium_marinum_Contig_1.1	NC_031253.1
mycobacterium_ulcerans_agy99_Contig_1.1	NC_031253.1
mycobacterium_ulcerans_agy99_Contig_1.1	NC_031253.1
NC_010397.1	NC_021307.1
NC_010397.1	NC_023609.1
NC_010397.1	NC_026591.1
NC_018612.1	NC_031253.1
NC_020133.1	NC_031253.1
NZ_AP018164.1	NC_031253.1
NZ_CP015495.1	NC_031253.1
NZ_CP020809.1	KF279413.1
NZ_CP020809.1	NC_022331.2
NZ_CP020809.1	NC_023554.1
NZ_LDPU01000001.1	NC_023606.1
mycobacterium_ulcerans_agy99_Contig_1.1	NC_011273.1
mycobacterium_ulcerans_agy99_Contig_1.1	NC_011273.1
NC_009338.1	NC_014461.1
NC_020133.1	NC_011273.1
NZ_AP018165.1	FJ168659.1
NZ_AP018165.1	HM152765.1
NZ_AP018165.1	KT347313.1
NZ_AP018165.1	KU985090.1
NZ_AP018165.1	NC_011291.1
NZ_AP018165.1	NC_021302.1
NZ_AP018165.1	NC_023552.1
NZ_AP018165.1	NC_023692.1
NZ_AP018165.1	NC_023692.1
NZ_AP018165.1	NC_023697.1
NZ_AP018165.1	NC_026605.1
NZ_AP018165.1	NC_028747.1
NZ_AP018165.1	NC_031261.1
NZ_CP020809.1	JN699015.1
NZ_CP020809.1	KF959563.1
NZ_CP020809.1	NC_008195.1
NZ_CP020809.1	NC_014461.1
NZ_CP020809.1	NC_022328.1
NZ_CP020809.1	NC_023577.1
NZ_CP020809.1	NC_023698.1
NZ_CP020809.1	NC_026585.1
NZ_CP020809.1	NC_026589.1
mycobacterium_avium_104_Contig_1.1	NC_031253.1
mycobacterium_avium_104_Contig_1.1	NC_031253.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	NC_031253.1
mycobacterium_smegmatis_mc2_155_Contig_1.1	NC_031253.1
mycobacterium_sp._jls_Contig_1.null	NC_026588.1
mycobacterium_sp._jls_Contig_1.null	NC_026588.1
mycobacterium_sp._jls_Contig_1.null	NC_031253.1
mycobacterium_sp._jls_Contig_1.null	NC_031253.1
mycobacterium_sp._kms_Contig_1.0	NC_026588.1
mycobacterium_sp._kms_Contig_1.0	NC_026588.1
mycobacterium_sp._kms_Contig_1.0	NC_031253.1
mycobacterium_sp._kms_Contig_1.0	NC_031253.1
mycobacterium_sp._mcs_Contig_1.1	NC_026588.1
mycobacterium_sp._mcs_Contig_1.1	NC_026588.1
mycobacterium_sp._mcs_Contig_1.1	NC_031253.1
mycobacterium_sp._mcs_Contig_1.1	NC_031253.1
mycobacterium_vanbaalenii_pyr-1_Contig_1.1	NC_031253.1
mycobacterium_vanbaalenii_pyr-1_Contig_1.1	NC_031253.1
NC_009338.1	NC_031253.1
NC_010397.1	NC_031253.1
NC_018612.1	NC_008206.2
NC_018612.1	NC_021307.1
NC_018612.1	NC_026591.1
NZ_CP011269.1	NC_031253.1
NZ_CP011491.1	NC_031253.1
NZ_CP020809.1	KR997930.1
NZ_CP020809.1	KR997931.1
NZ_CP020809.1	KR997968.1
NZ_CP020809.1	NC_023741.1
NZ_CP020809.1	NC_028751.1
NZ_CP020809.1	NC_028889.1
NZ_CP020809.1	NC_031253.1
NZ_LDPU01000001.1	NC_031253.1
NZ_MLCK01000013.1	KX636165.1
NZ_MLCK01000013.1	NC_031035.1
mycobacterium_sp._jls_Contig_1.null	JN699006.1
mycobacterium_sp._jls_Contig_1.null	JN699006.1
mycobacterium_sp._jls_Contig_1.null	NC_023686.1
mycobacterium_sp._jls_Contig_1.null	NC_023686.1
mycobacterium_sp._jls_Contig_1.null	NC_023742.1
mycobacterium_sp._jls_Contig_1.null	NC_023742.1
NC_009338.1	NC_011273.1
NC_010397.1	NC_023602.1
NC_010397.1	NC_026595.1
NC_010397.1	NC_031253.1
NZ_AP018165.1	KM597530.1
NZ_AP018165.1	KR080195.1
NZ_AP018165.1	NC_028796.1
NZ_AP018165.1	NC_028823.1
NZ_AP018165.1	NC_031253.1
NZ_CP020809.1	NC_026588.1
mycobacterium_marinum_Contig_1.1	NC_023697.1
mycobacterium_marinum_Contig_1.1	NC_023697.1
mycobacterium_sp._jls_Contig_1.null	NC_014461.1
mycobacterium_sp._jls_Contig_1.null	NC_014461.1
mycobacterium_sp._kms_Contig_1.0	NC_014461.1
mycobacterium_sp._kms_Contig_1.0	NC_014461.1
mycobacterium_sp._mcs_Contig_1.1	NC_014461.1
mycobacterium_sp._mcs_Contig_1.1	NC_014461.1
mycobacterium_ulcerans_agy99_Contig_1.1	NC_023697.1
mycobacterium_ulcerans_agy99_Contig_1.1	NC_023697.1
NC_010397.1	NC_023730.1
NC_020133.1	NC_023697.1
NC_018612.1	NC_021307.1
NC_018612.1	NC_023609.1
NC_018612.1	NC_026591.1
NZ_CP020809.1	NC_026589.1
CH482373.1	HM152766.1
CH482373.1	JF704114.1
CH482373.1	JN699015.1
CH482373.1	KF024733.1
CH482373.1	KF279418.2
CH482373.1	KF841475.1
CH482373.1	KF841476.1
CH482373.1	KF959563.1
CH482373.1	KJ959632.1
CH482373.1	KM101119.1
CH482373.1	KM197169.1
CH482373.1	KM233454.1
CH482373.1	KM591906.2
CH482373.1	KM677210.1
CH482373.1	KP027202.1
CH482373.1	KU578077.1
CH482373.1	KU984914.1
CH482373.1	KU985091.1
CH482373.1	KU985093.1
CH482373.1	KU985095.1
CH482373.1	KX458237.1
CH482373.1	KX507362.1
CH482373.1	NC_011023.1
CH482373.1	NC_021535.1
CH482373.1	NC_023562.1
CH482373.1	NC_023577.1
CH482373.1	NC_023707.1
CH482373.1	NC_023731.1
CH482373.1	NC_024141.1
CH482373.1	NC_024148.1
CH482373.1	NC_028757.1
CH482373.1	NC_028794.1
CH482373.1	NC_028798.1
CH482373.1	NC_028852.1
CH482373.1	NC_028877.1
CH482373.1	NC_029018.2
CH482373.1	NC_029043.2
CH482373.1	NC_031263.1
CP001664.1	HM152766.1
CP001664.1	JF704114.1
CP001664.1	JN699015.1
CP001664.1	KF024733.1
CP001664.1	KF279418.2
CP001664.1	KF841475.1
CP001664.1	KF841476.1
CP001664.1	KF959563.1
CP001664.1	KJ959632.1
CP001664.1	KM101119.1
CP001664.1	KM197169.1
CP001664.1	KM233454.1
CP001664.1	KM591906.2
CP001664.1	KM677210.1
CP001664.1	KP027202.1
CP001664.1	KU578077.1
CP001664.1	KU984914.1
CP001664.1	KU985091.1
CP001664.1	KU985093.1
CP001664.1	KU985095.1
CP001664.1	KX458237.1
CP001664.1	KX507362.1
CP001664.1	NC_011023.1
CP001664.1	NC_021535.1
CP001664.1	NC_023562.1
CP001664.1	NC_023577.1
CP001664.1	NC_023707.1
CP001664.1	NC_023731.1
CP001664.1	NC_024141.1
CP001664.1	NC_024148.1
CP001664.1	NC_028757.1
CP001664.1	NC_028794.1
CP001664.1	NC_028798.1
CP001664.1	NC_028852.1
CP001664.1	NC_028877.1
CP001664.1	NC_029018.2
CP001664.1	NC_029043.2
CP001664.1	NC_031263.1
CP010333.1	HM152766.1
CP010333.1	JF704114.1
CP010333.1	JN699015.1
CP010333.1	KF024733.1
CP010333.1	KF279418.2
CP010333.1	KF841475.1
CP010333.1	KF841476.1
CP010333.1	KF959563.1
CP010333.1	KJ959632.1
CP010333.1	KM101119.1
CP010333.1	KM197169.1
CP010333.1	KM233454.1
CP010333.1	KM591906.2
CP010333.1	KM677210.1
CP010333.1	KP027202.1
CP010333.1	KU578077.1
CP010333.1	KU984914.1
CP010333.1	KU985091.1
CP010333.1	KU985093.1
CP010333.1	KU985095.1
CP010333.1	KX458237.1
CP010333.1	KX507362.1
CP010333.1	NC_011023.1
CP010333.1	NC_021535.1
CP010333.1	NC_023562.1
CP010333.1	NC_023577.1
CP010333.1	NC_023707.1
CP010333.1	NC_023731.1
CP010333.1	NC_024141.1
CP010333.1	NC_024148.1
CP010333.1	NC_028757.1
CP010333.1	NC_028794.1
CP010333.1	NC_028798.1
CP010333.1	NC_028852.1
CP010333.1	NC_028877.1
CP010333.1	NC_029018.2
CP010333.1	NC_029043.2
CP010333.1	NC_031263.1
CP015773.2	HM152766.1
CP015773.2	JF704114.1
CP015773.2	JN699015.1
CP015773.2	KF024733.1
CP015773.2	KF279418.2
CP015773.2	KF841475.1
CP015773.2	KF841476.1
CP015773.2	KF959563.1
CP015773.2	KJ959632.1
CP015773.2	KM101119.1
CP015773.2	KM197169.1
CP015773.2	KM233454.1
CP015773.2	KM591906.2
CP015773.2	KM677210.1
CP015773.2	KP027202.1
CP015773.2	KU578077.1
CP015773.2	KU984914.1
CP015773.2	KU985091.1
CP015773.2	KU985093.1
CP015773.2	KU985095.1
CP015773.2	KX458237.1
CP015773.2	KX507362.1
CP015773.2	NC_011023.1
CP015773.2	NC_021535.1
CP015773.2	NC_023562.1
CP015773.2	NC_023577.1
CP015773.2	NC_023707.1
CP015773.2	NC_023731.1
CP015773.2	NC_024141.1
CP015773.2	NC_024148.1
CP015773.2	NC_028757.1
CP015773.2	NC_028794.1
CP015773.2	NC_028798.1
CP015773.2	NC_028852.1
CP015773.2	NC_028877.1
CP015773.2	NC_029018.2
CP015773.2	NC_029043.2
CP015773.2	NC_031263.1
CP021238.1	NC_021318.1
CP021238.1	NC_021338.1
mycobacterium_africanum_gm041182_Contig_1.1	HM152766.1
mycobacterium_africanum_gm041182_Contig_1.1	HM152766.1
mycobacterium_africanum_gm041182_Contig_1.1	JF704114.1
mycobacterium_africanum_gm041182_Contig_1.1	JF704114.1
mycobacterium_africanum_gm041182_Contig_1.1	JN699015.1
mycobacterium_africanum_gm041182_Contig_1.1	JN699015.1
mycobacterium_africanum_gm041182_Contig_1.1	KF024733.1
mycobacterium_africanum_gm041182_Contig_1.1	KF024733.1
mycobacterium_africanum_gm041182_Contig_1.1	KF279418.2
mycobacterium_africanum_gm041182_Contig_1.1	KF279418.2
mycobacterium_africanum_gm041182_Contig_1.1	KF841475.1
mycobacterium_africanum_gm041182_Contig_1.1	KF841475.1
mycobacterium_africanum_gm041182_Contig_1.1	KF841476.1
mycobacterium_africanum_gm041182_Contig_1.1	KF841476.1
mycobacterium_africanum_gm041182_Contig_1.1	KF959563.1
mycobacterium_africanum_gm041182_Contig_1.1	KF959563.1
mycobacterium_africanum_gm041182_Contig_1.1	KJ959632.1
mycobacterium_africanum_gm041182_Contig_1.1	KJ959632.1
mycobacterium_africanum_gm041182_Contig_1.1	KM101119.1
mycobacterium_africanum_gm041182_Contig_1.1	KM101119.1
mycobacterium_africanum_gm041182_Contig_1.1	KM197169.1
mycobacterium_africanum_gm041182_Contig_1.1	KM197169.1
mycobacterium_africanum_gm041182_Contig_1.1	KM233454.1
mycobacterium_africanum_gm041182_Contig_1.1	KM233454.1
mycobacterium_africanum_gm041182_Contig_1.1	KM591906.2
mycobacterium_africanum_gm041182_Contig_1.1	KM591906.2
mycobacterium_africanum_gm041182_Contig_1.1	KM677210.1
mycobacterium_africanum_gm041182_Contig_1.1	KM677210.1
mycobacterium_africanum_gm041182_Contig_1.1	KP027202.1
mycobacterium_africanum_gm041182_Contig_1.1	KP027202.1
mycobacterium_africanum_gm041182_Contig_1.1	KU578077.1
mycobacterium_africanum_gm041182_Contig_1.1	KU578077.1
mycobacterium_africanum_gm041182_Contig_1.1	KU984914.1
mycobacterium_africanum_gm041182_Contig_1.1	KU984914.1
mycobacterium_africanum_gm041182_Contig_1.1	KU985091.1
mycobacterium_africanum_gm041182_Contig_1.1	KU985091.1
mycobacterium_africanum_gm041182_Contig_1.1	KU985093.1
mycobacterium_africanum_gm041182_Contig_1.1	KU985093.1
mycobacterium_africanum_gm041182_Contig_1.1	KU985095.1
mycobacterium_africanum_gm041182_Contig_1.1	KU985095.1
mycobacterium_africanum_gm041182_Contig_1.1	KX458237.1
mycobacterium_africanum_gm041182_Contig_1.1	KX458237.1
mycobacterium_africanum_gm041182_Contig_1.1	KX507362.1
mycobacterium_africanum_gm041182_Contig_1.1	KX507362.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_011023.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_011023.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_021535.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_021535.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_023562.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_023562.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_023577.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_023577.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_023707.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_023707.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_023731.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_023731.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_024141.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_024141.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_024148.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_024148.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_028757.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_028757.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_028794.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_028794.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_028798.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_028798.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_028852.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_028852.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_028877.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_028877.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_029018.2
mycobacterium_africanum_gm041182_Contig_1.1	NC_029018.2
mycobacterium_africanum_gm041182_Contig_1.1	NC_029043.2
mycobacterium_africanum_gm041182_Contig_1.1	NC_029043.2
mycobacterium_africanum_gm041182_Contig_1.1	NC_031263.1
mycobacterium_africanum_gm041182_Contig_1.1	NC_031263.1
mycobacterium_avium_104_Contig_1.1	NC_021318.1
mycobacterium_avium_104_Contig_1.1	NC_021318.1
mycobacterium_avium_104_Contig_1.1	NC_021338.1
mycobacterium_avium_104_Contig_1.1	NC_021338.1
mycobacterium_avium_k10_Contig_null.1	NC_021318.1
mycobacterium_avium_k10_Contig_null.1	NC_021318.1
mycobacterium_avium_k10_Contig_null.1	NC_021338.1
mycobacterium_avium_k10_Contig_null.1	NC_021338.1
mycobacterium_bovis_bcg_Contig_1.1	HM152766.1
mycobacterium_bovis_bcg_Contig_1.1	HM152766.1
mycobacterium_bovis_bcg_Contig_1.1	JF704114.1
mycobacterium_bovis_bcg_Contig_1.1	JF704114.1
mycobacterium_bovis_bcg_Contig_1.1	JN699015.1
mycobacterium_bovis_bcg_Contig_1.1	JN699015.1
mycobacterium_bovis_bcg_Contig_1.1	KF024733.1
mycobacterium_bovis_bcg_Contig_1.1	KF024733.1
mycobacterium_bovis_bcg_Contig_1.1	KF279418.2
mycobacterium_bovis_bcg_Contig_1.1	KF279418.2
mycobacterium_bovis_bcg_Contig_1.1	KF841475.1
